problem_id,token_index,is_correct,extracted_answer,ground_truth,Neuron_5021,Neuron_10801,Neuron_13995,Neuron_12185,Neuron_5253,Neuron_3355,Neuron_786,Neuron_12004,Neuron_1674,Neuron_7981,Neuron_1050,Neuron_3874,Neuron_7938,Neuron_9692,Neuron_13933,Neuron_7129,Neuron_1793,Neuron_8384,Neuron_102
0,0,False,28,2010,-0.734375,-0.035400390625,-0.01177978515625,-1.046875,0.13671875,-0.060791015625,-0.00244140625,-0.302734375,0.11669921875,-0.01202392578125,-0.10498046875,-0.00043487548828125,2.921875,0.0155029296875,-0.09326171875,0.5625,-0.08935546875,0.033447265625,0.2392578125
0,1,False,28,2010,1.625,-0.251953125,-2.140625,-1.8671875,0.2470703125,-0.3359375,-0.2236328125,-1.09375,2.75,-0.36328125,0.703125,-0.33203125,0.330078125,-2.25,1.4609375,0.279296875,4.75,-1.0546875,-2.109375
0,2,False,28,2010,-0.9140625,0.5546875,-5.15625,-2.921875,1.046875,-0.2177734375,0.10302734375,0.2314453125,-0.68359375,-0.41796875,-2.140625,-0.1484375,1.5,-0.318359375,3.078125,0.041015625,-3.953125,-0.515625,-1.4375
0,3,False,28,2010,0.47265625,0.7890625,-1.4921875,-2.359375,1.0,-0.62109375,0.1728515625,-0.80859375,-0.09912109375,-0.609375,0.058349609375,0.14453125,-0.298828125,-1.7265625,1.125,-0.671875,-5.90625,0.54296875,-0.7578125
0,4,False,28,2010,1.640625,0.69921875,-2.125,-2.015625,0.69921875,-0.54296875,-0.5390625,2.375,-0.21484375,-0.6328125,4.625,3.5,-1.7578125,-3.4375,2.96875,0.25,2.09375,-0.057861328125,2.9375
0,5,False,28,2010,-0.2314453125,0.671875,-1.3125,-4.6875,1.375,-0.33203125,0.48828125,-0.318359375,-0.486328125,-0.5859375,-0.78515625,0.1982421875,-0.0206298828125,2.015625,8.3125,0.291015625,-0.42578125,0.99609375,-5.15625
0,6,False,28,2010,1.2265625,0.70703125,-3.96875,-1.8125,1.78125,-0.51953125,0.41015625,2.578125,-0.462890625,-0.59765625,-0.4375,0.953125,-0.48828125,-2.40625,3.28125,0.388671875,2.8125,0.70703125,-1.046875
0,7,False,28,2010,1.03125,0.83203125,-1.6796875,-0.87109375,1.5546875,-0.6484375,0.9375,0.83984375,0.166015625,-0.73828125,-3.140625,0.85546875,-1.6171875,2.921875,1.34375,1.0859375,4.15625,0.0023651123046875,-4.25
0,8,False,28,2010,0.515625,0.828125,-2.109375,-1.3203125,0.8203125,-0.6171875,1.1484375,-5.96875,-0.185546875,-0.78515625,-0.203125,0.85546875,-0.451171875,0.83984375,3.5625,0.47265625,1.28125,0.7890625,-3.890625
0,9,False,28,2010,0.62890625,0.90234375,-2.515625,-2.171875,1.421875,-0.65234375,2.015625,-9.0,-0.00885009765625,-0.796875,0.55078125,0.66796875,-0.2890625,-0.73828125,2.5,0.69140625,2.875,0.62109375,-3.1875
